N3211,"Medical Laboratory Technologists & Technicians and Pathologists' Assistants","3211 - Medical Laboratory Technologists and Pathologists' Assistants; 3212 - Medical Laboratory Technicians"
N3213,"Animal Health Technologists","3213 - Animal Health Technologists"
N3214,"Other Medical Technologists and Technicians","3214 - Respiratory Therapists and Clinical Perfusionists; 3215 - Medical Radiation Technologists; 3216 - Medical Sonographers; 3217 - Cardiology Technologists; 3218 - Electroencephalographic and Other Diagnostic Technologists, n.e.c.; 3219 - Other Medical Technologists and Technicians (except Dental Health)"
N3220,"Technical Occupations In Dental Health Care","3221 - Denturists; 3222 - Dental Hygienists and Dental Therapists; 3223 - Dental Technicians and Laboratory Bench Workers"
N3231,"Opticians","3231 - Opticians"
N3232,"Midwives and Practitioners of Natural Healing","3232 - Midwives and Practitioners of Natural Healing"
N3233,"Registered Nursing Assistants","3233 - Registered Nursing Assistants"
N3234,"Ambulance Attendants and Other Paramedical Occupations","3234 - Ambulance Attendants and Other Paramedical Occupations"
N3235,"Other Technical Occupations in Therapy and Assessment","3235 - Other Technical Occupations in Therapy and Assessment"
N3411,"Dental Assistants","3411 - Dental Assistants"
N3413,"Nurse Aides and Orderlies & Other Aides and Assistants","3413 - Nurse Aides and Orderlies; 3414 - Other Aides and Assistants in Support of Health Services"
N4110,"Judges, Lawyers And Quebec Notaries","4111 - Judges; 4112 - Lawyers and Quebec Notaries"
N4121,"University Professors","4121 - University Professors"
N4122,"Post-Secondary Teaching and Research Assistants","4122 - Post-Secondary Teaching and Research Assistants"
N4131,"College and Other Vocational Instructors","4131 - College and Other Vocational Instructors"
N4141,"Secondary School Teachers","4141 - Secondary School Teachers"
N4142,"Elementary School and Kindergarten Teachers","4142 - Elementary School and Kindergarten Teachers"
N4143,"School and Guidance Counsellors","4143 - School and Guidance Counsellors"
N4151,"Psychologists","4151 - Psychologists"
N4152,"Social Workers & Probation and Parole Officers and Related Occupations","4152 - Social Workers; 4155 - Probation and Parole Officers and Related Occupations"
