N1224,1.400000,0.500000,0.400000,0.400000,0.300000,0.200000,0.200000,0.200000,0.100000,0.200000,0.200000
N1225,3.800000,0.700000,0.500000,0.500000,0.400000,0.300000,0.300000,0.300000,0.200000,0.200000,0.300000
N1226,8.100000,0.500000,0.400000,0.400000,0.400000,0.300000,0.300000,0.300000,0.200000,0.200000,0.300000
N1227,-7.400000,0.400000,0.300000,0.300000,0.300000,0.200000,0.200000,0.200000,0.100000,0.100000,0.200000
N1231,-15.50000,0.100000,0.200000,0.500000,0.400000,0.200000,0.200000,0.400000,0.100000,0.300000,0.400000
N1232,8.300000,0.500000,0.400000,0.400000,0.300000,0.100000,0.100000,0.100000,0.000000,0.100000,0.100000
N1233,-10.60000,-0.200000,0.500000,-0.100000,0.500000,0.300000,0.200000,0.200000,0.100000,0.100000,0.100000
N1241,-9.700000,-5.200000,-4.300000,-3.400000,-2.800000,-2.400000,-1.900000,-1.500000,-1.400000,-1.000000,-0.800000
N1242,-3.100000,-0.100000,-0.200000,-0.200000,-0.200000,-0.300000,-0.300000,-0.300000,-0.300000,-0.300000,-0.300000
N1243,-1.100000,0.100000,0.000000,0.000000,-0.100000,-0.200000,-0.100000,-0.100000,-0.200000,-0.200000,-0.200000
N1411,-6.400000,-2.300000,-2.800000,-2.200000,-1.600000,-1.300000,-1.400000,-1.300000,-1.400000,-1.200000,-1.200000
N1414,-12.40000,2.600000,2.100000,1.900000,1.500000,1.000000,1.100000,1.100000,0.700000,0.800000,0.900000
N1420,-5.400000,-0.400000,-0.500000,-0.600000,-0.400000,-0.300000,-0.400000,-0.400000,-0.500000,-0.500000,-0.500000
N1431,-7.700000,2.100000,1.500000,1.400000,1.000000,0.500000,0.500000,0.500000,0.100000,0.200000,0.300000
N1432,-0.400000,0.900000,0.700000,0.700000,0.600000,0.500000,0.500000,0.500000,0.400000,0.400000,0.500000
N1433,6.400000,1.100000,0.800000,0.700000,0.600000,0.300000,0.300000,0.300000,0.000000,0.100000,0.200000
N1434,-5.000000,-0.200000,-0.100000,0.000000,0.100000,0.100000,0.100000,0.100000,0.000000,0.000000,0.000000
N1440,17.30000,3.800000,3.000000,2.900000,2.400000,1.700000,1.700000,1.800000,1.100000,1.300000,1.400000
N1450,-19.40000,0.400000,0.400000,0.700000,0.500000,0.100000,0.200000,0.400000,0.000000,0.200000,0.400000
N1461,1.000000,0.200000,0.100000,0.100000,0.100000,0.000000,0.000000,0.000000,-0.100000,-0.100000,0.000000
N1462,0.800000,0.300000,0.400000,0.400000,0.300000,0.200000,0.200000,0.200000,0.100000,0.200000,0.200000
N1463,1.600000,-0.400000,0.100000,0.000000,0.000000,-0.300000,-0.100000,-0.100000,-0.200000,-0.200000,-0.100000
N1471,-2.500000,1.300000,0.800000,0.800000,0.500000,0.200000,0.100000,0.200000,-0.200000,0.000000,0.000000
N1472,-4.400000,1.100000,0.700000,0.700000,0.600000,0.400000,0.400000,0.400000,0.200000,0.300000,0.300000
N2110,-9.100000,-0.100000,0.600000,0.500000,0.400000,0.400000,0.400000,0.400000,0.300000,0.200000,0.100000
N2120,1.600000,0.600000,0.500000,0.400000,0.300000,0.200000,0.200000,0.200000,0.100000,0.200000,0.200000
N2131,2.900000,1.200000,1.100000,1.100000,0.900000,0.900000,0.900000,1.000000,0.900000,0.900000,1.000000
N2132,-5.200000,0.800000,0.600000,0.600000,0.500000,0.400000,0.400000,0.400000,0.300000,0.300000,0.300000
N2133,-2.900000,0.500000,0.400000,0.400000,0.300000,0.200000,0.200000,0.200000,0.100000,0.200000,0.200000
N2134,-1.300000,0.200000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
N2141,1.200000,0.500000,0.200000,0.200000,0.200000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
N2143,0.600000,0.500000,0.400000,0.400000,0.300000,0.300000,0.300000,0.300000,0.200000,0.200000,0.300000
N2146,1.200000,0.200000,0.200000,0.200000,0.100000,0.100000,0.200000,0.200000,0.200000,0.200000,0.200000
N2147,-1.900000,0.500000,0.400000,0.400000,0.400000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000
N2148,-0.500000,0.400000,0.300000,0.300000,0.300000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000
N2151,-1.500000,0.400000,0.300000,0.300000,0.300000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000
N2152,2.700000,0.100000,0.100000,0.100000,0.200000,0.200000,0.100000,0.100000,0.100000,0.100000,0.100000
N2161,-0.800000,0.200000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
N2171,17.60000,4.500000,3.900000,3.800000,3.400000,2.900000,2.800000,2.800000,2.300000,2.400000,2.500000
N2172,-1.600000,0.900000,0.800000,0.800000,0.700000,0.600000,0.600000,0.600000,0.500000,0.500000,0.500000
N2173,6.800000,1.100000,1.000000,1.000000,0.900000,0.800000,0.800000,0.800000,0.700000,0.800000,0.800000
N2174,6.400000,3.500000,3.100000,3.100000,2.800000,2.500000,2.500000,2.600000,2.200000,2.400000,2.500000
N2175,1.500000,0.900000,0.800000,0.800000,0.700000,0.600000,0.600000,0.600000,0.500000,0.500000,0.500000
N2210,1.900000,0.500000,0.400000,0.300000,0.300000,0.200000,0.200000,0.200000,0.100000,0.100000,0.200000
N2221,-2.900000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.000000,0.000000,0.000000
N2222,-2.700000,0.200000,0.200000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
N2225,4.900000,0.300000,0.300000,0.200000,0.200000,0.200000,0.200000,0.200000,0.100000,0.200000,0.200000
